Epoch,Loss,Accuracy
1,0.5309863164345423,0.75545
2,0.41840567478338875,0.8144166666666667
3,0.3826235831975937,0.8325166666666667
4,0.3652458669940631,0.8423166666666667
5,0.35394581078688303,0.84865
6,0.3171110867540042,0.86195
7,0.30942114249070485,0.86505
8,0.3062693177461624,0.86635
9,0.3038059315164884,0.8671833333333333
10,0.30212990790208183,0.8677
11,0.29693750161528587,0.8700333333333333
12,0.29580910427570345,0.8697166666666667
13,0.29567541238069533,0.8701
14,0.2952729942798614,0.8707
15,0.2950652230421702,0.8698
16,0.29464185464779535,0.8701166666666666
17,0.2944703061580658,0.8700333333333333
18,0.29440402218103406,0.8701666666666666
19,0.2943690959175428,0.8704
20,0.29434310161272687,0.8702833333333333
21,0.29426586532592774,0.8703833333333333
22,0.29425919719139737,0.8705166666666667
23,0.29425431766907373,0.8704833333333334
24,0.2942509259581566,0.87055
25,0.2942479702671369,0.8705166666666667
26,0.29423828686873116,0.8705666666666667
27,0.29423801975647607,0.8705833333333334
28,0.29423785803715385,0.87055
29,0.2942376226822535,0.8705333333333334
30,0.29423740291396777,0.8705833333333334
